DateTime,Temperature (°C),Humidity (%),WindSpeed (km/h),CloudCover (%),Visibility (km),Rain (mm),Thunderstorm,LaunchSite,SuitableForLaunch
2010-06-01 14:30:00,19.36,24,8.36,87,19.29,0.13,0,KSC LC 39A,1
2010-06-02 14:30:00,33.77,69,4.45,89,19.91,1.22,0,CCSFS SLC 40,1
2010-06-03 14:30:00,28.3,61,1.33,49,13.96,1.36,0,KSC LC 39A,1
2010-06-04 14:30:00,24.97,31,5.49,9,7.58,0.94,0,KSC LC 39A,1
2010-06-05 14:30:00,13.9,37,16.29,78,18.32,1.03,0,KSC LC 39A,1
2010-06-06 14:30:00,13.9,85,22.01,36,8.03,0.08,0,VAFB SLC 4E,1
2010-06-07 14:30:00,11.45,93,4.74,58,8.18,0.11,0,CCSFS SLC 40,1
2010-06-08 14:30:00,31.65,98,3.04,87,8.71,0.27,0,CCSFS SLC 40,1
2010-06-09 14:30:00,25.03,36,20.98,74,15.15,0.41,0,VAFB SLC 4E,1
2010-06-10 14:30:00,27.7,87,8.54,62,7.5,1.14,0,CCSFS SLC 40,1
2010-06-11 14:30:00,10.51,90,26.64,20,16.9,0.65,0,CCSFS SLC 40,1
2010-06-12 14:30:00,34.25,81,20.0,78,6.82,0.12,0,KSC LC 39A,1
2010-06-13 14:30:00,30.81,60,9.15,78,7.55,1.28,0,VAFB SLC 4E,1
2010-06-14 14:30:00,15.31,53,8.11,36,12.08,1.49,0,KSC LC 39A,1
2010-06-15 14:30:00,14.55,89,14.66,44,11.31,0.68,0,CCSFS SLC 40,1
2010-06-16 14:30:00,14.59,64,2.22,13,19.86,0.77,0,CCSFS SLC 40,1
2010-06-17 14:30:00,17.61,77,3.29,42,19.54,0.12,0,VAFB SLC 4E,1
2010-06-18 14:30:00,23.12,70,4.92,84,8.66,0.57,0,KSC LC 39A,1
2010-06-19 14:30:00,20.8,53,21.69,83,19.25,0.56,0,KSC LC 39A,1
2010-06-20 14:30:00,17.28,63,14.39,32,15.69,1.45,0,KSC LC 39A,1
2010-06-21 14:30:00,25.3,34,0.3,2,11.72,0.99,0,VAFB SLC 4E,1
2010-06-22 14:30:00,13.49,97,18.86,86,16.35,1.17,0,KSC LC 39A,1
2010-06-23 14:30:00,17.3,89,11.86,43,18.6,0.19,0,KSC LC 39A,1
2010-06-24 14:30:00,19.16,69,14.3,86,8.52,0.63,0,CCSFS SLC 40,1
